Time,Forecast (MW),Lower Bound (MW),Upper Bound (MW),Confidence
2026-01-14 19:00,20108,18097,22118,High
2026-01-14 20:00,20251,18226,22276,High
2026-01-14 21:00,20447,18402,22492,High
2026-01-14 22:00,20553,18497,22608,High
2026-01-14 23:00,20671,18604,22739,High
2026-01-15 00:00,21211,19090,23332,High
2026-01-15 01:00,21395,19255,23534,High
2026-01-15 02:00,21890,19701,24079,High
2026-01-15 03:00,22184,19966,24403,High
2026-01-15 04:00,22387,20148,24626,High
2026-01-15 05:00,22706,20436,24977,High
2026-01-15 06:00,22881,20593,25169,High
2026-01-15 07:00,22423,20181,24665,High
2026-01-15 08:00,22667,20401,24934,High
2026-01-15 09:00,22885,20597,25174,High
2026-01-15 10:00,23508,21158,25859,High
2026-01-15 11:00,24121,21709,26533,High
2026-01-15 12:00,24498,22048,26948,High
2026-01-15 13:00,24898,22408,27388,High
2026-01-15 14:00,24747,22272,27222,High
2026-01-15 15:00,24321,21889,26753,High
2026-01-15 16:00,22051,19846,24257,High
2026-01-15 17:00,21168,19051,23284,High
2026-01-15 18:00,19945,17951,21940,High
