datetime_utc,Solar,Wind_Onshore,Wind_Offshore,Total_Generation
2025-12-28 00:00:00+00:00,0.1790999323129654,37.38833999633789,5405.05517578125,5442.622615709901
2025-12-28 01:00:00+00:00,1.5528510808944702,42.951904296875,4416.69189453125,4461.1966499090195
2025-12-28 02:00:00+00:00,37.80851364135742,47.80915832519531,3218.555908203125,3304.1735801696777
2025-12-28 03:00:00+00:00,185.19943237304688,51.7257194519043,2245.50537109375,2482.430522918701
2025-12-28 04:00:00+00:00,357.4403991699219,53.269954681396484,2000.8299560546875,2411.540309906006
2025-12-28 05:00:00+00:00,425.4074401855469,57.31886672973633,1612.674072265625,2095.400379180908
2025-12-28 06:00:00+00:00,360.1212463378906,57.519962310791016,1364.047607421875,1781.6888160705566
2025-12-28 07:00:00+00:00,197.14181518554688,57.78245544433594,1169.6763916015625,1424.6006622314453
2025-12-28 08:00:00+00:00,222.20065307617188,58.2766227722168,1150.56005859375,1431.0373344421387
2025-12-28 09:00:00+00:00,363.8335266113281,57.057586669921875,1163.3558349609375,1584.2469482421875
2025-12-28 10:00:00+00:00,507.6862487792969,59.27406692504883,1254.5460205078125,1821.5063362121582
2025-12-28 11:00:00+00:00,573.6746215820312,60.94941329956055,1513.5357666015625,2148.1598014831543
2025-12-28 12:00:00+00:00,611.8477783203125,67.03642272949219,1711.0770263671875,2389.961227416992
2025-12-28 13:00:00+00:00,511.6072692871094,70.47212982177734,1709.505615234375,2291.5850143432617
2025-12-28 14:00:00+00:00,273.0046081542969,76.0572738647461,1639.1131591796875,1988.1750411987305
2025-12-28 15:00:00+00:00,26.924591064453125,88.53779602050781,1544.3555908203125,1659.8179779052734
2025-12-28 16:00:00+00:00,0.0,106.03102111816406,1436.696044921875,1542.727066040039
2025-12-28 17:00:00+00:00,0.0,121.23863220214844,1390.360107421875,1511.5987396240234
2025-12-28 18:00:00+00:00,0.0,131.10321044921875,1294.1876220703125,1425.2908325195312
2025-12-28 19:00:00+00:00,0.0,140.80831909179688,1254.573974609375,1395.3822937011719
2025-12-28 20:00:00+00:00,0.0,144.5900421142578,1211.0523681640625,1355.6424102783203
2025-12-28 21:00:00+00:00,0.012789405882358551,145.2306671142578,1146.7835693359375,1292.0270258560777
2025-12-28 22:00:00+00:00,0.0005572622758336365,142.07400512695312,1080.168212890625,1222.242775279854
2025-12-28 23:00:00+00:00,0.0005572622758336365,138.9303741455078,977.6282958984375,1116.5592273062211
