datetime_utc,Solar,Wind_Onshore,Wind_Offshore,Total_Generation
2025-12-28 00:00:00+00:00,0.0,1851.4563574730144,2072.2003785388556,3923.6567360118697
2025-12-28 01:00:00+00:00,0.0,1826.988692117819,2078.6763145597693,3905.6650066775883
2025-12-28 02:00:00+00:00,0.0,1806.569505756428,2095.4227285707652,3901.9922343271933
2025-12-28 03:00:00+00:00,0.0,1792.2896079230914,2106.365073990463,3898.654681913554
2025-12-28 04:00:00+00:00,0.0,1805.204852199396,2103.1702739925045,3908.3751261919006
2025-12-28 05:00:00+00:00,0.0,1815.7003131225545,2086.224101758564,3901.9244148811185
2025-12-28 06:00:00+00:00,0.0,1853.5831976311833,2066.5303241978504,3920.1135218290337
2025-12-28 07:00:00+00:00,0.0,1857.3469134335226,2046.6395818896774,3903.9864953232
2025-12-28 08:00:00+00:00,0.0,1825.1915497771222,2032.9091287644446,3858.1006785415666
2025-12-28 09:00:00+00:00,401.937007828471,1749.730975168431,2017.418338997884,4169.086321994786
2025-12-28 10:00:00+00:00,682.1899289423436,1688.93778059024,1992.2381386727145,4363.365848205298
2025-12-28 11:00:00+00:00,765.3125426102677,1672.8677316170447,1960.935909277152,4399.116183504464
2025-12-28 12:00:00+00:00,689.7512575176092,1675.471436223031,1946.1622360639592,4311.3849298046
2025-12-28 13:00:00+00:00,410.6044597130948,1698.101354316291,1964.851668647233,4073.5574826766187
2025-12-28 14:00:00+00:00,0.0,1718.5442901530798,2017.6800779408798,3736.2243680939596
2025-12-28 15:00:00+00:00,0.0,1751.2580752211043,2061.5326801224596,3812.790755343564
2025-12-28 16:00:00+00:00,0.0,1808.0541068166042,2091.6877009888185,3899.7418078054225
2025-12-28 17:00:00+00:00,0.0,1832.219114049434,2105.6837432551724,3937.902857304606
2025-12-28 18:00:00+00:00,0.0,1831.1166475950156,2111.798136421104,3942.9147840161195
2025-12-28 19:00:00+00:00,0.0,1850.4903390004395,2095.325282008715,3945.8156210091547
2025-12-28 20:00:00+00:00,0.0,1855.9970748691028,2093.893332915829,3949.890407784932
2025-12-28 21:00:00+00:00,0.0,1844.4950545741765,2075.8181408555265,3920.3131954297032
2025-12-28 22:00:00+00:00,0.0,1872.1448793291886,2071.8327076535224,3943.977586982711
2025-12-28 23:00:00+00:00,0.0,1876.8448033538655,2063.4239295407783,3940.268732894644
