datetime_utc,Solar,Wind_Onshore,Wind_Offshore,Total_Generation
2025-12-30 00:00:00+00:00,38338.390625,474.0047607421875,5940.494140625,44752.88952636719
2025-12-30 01:00:00+00:00,38337.91796875,482.3631286621094,4990.70361328125,43810.98471069336
2025-12-30 02:00:00+00:00,28349.71875,488.332763671875,4364.2666015625,33202.318115234375
2025-12-30 03:00:00+00:00,21849.580078125,487.3945617675781,3926.03564453125,26263.010284423828
2025-12-30 04:00:00+00:00,22469.79296875,487.9812927246094,3553.521484375,26511.29574584961
2025-12-30 05:00:00+00:00,22773.19140625,494.9376525878906,3253.7197265625,26521.84878540039
2025-12-30 06:00:00+00:00,22818.244140625,513.4156494140625,2784.043701171875,26115.703491210938
2025-12-30 07:00:00+00:00,22572.607421875,524.175048828125,2106.582275390625,25203.36474609375
2025-12-30 08:00:00+00:00,22346.005859375,530.9035034179688,1380.137939453125,24257.047302246094
2025-12-30 09:00:00+00:00,21548.732421875,548.7286376953125,1244.4049072265625,23341.865966796875
2025-12-30 10:00:00+00:00,21510.6796875,554.4498901367188,1168.114013671875,23233.243591308594
2025-12-30 11:00:00+00:00,21701.7421875,547.2392578125,1625.33154296875,23874.31298828125
2025-12-30 12:00:00+00:00,19708.150390625,552.1185302734375,1896.0372314453125,22156.30615234375
2025-12-30 13:00:00+00:00,15063.11328125,687.4750366210938,2314.71875,18065.307067871094
2025-12-30 14:00:00+00:00,12375.8759765625,674.7529296875,2724.175048828125,15774.803955078125
2025-12-30 15:00:00+00:00,9588.705078125,672.3904418945312,2768.884765625,13029.980285644531
2025-12-30 16:00:00+00:00,8192.7509765625,643.55126953125,2590.97314453125,11427.275390625
2025-12-30 17:00:00+00:00,7870.63671875,637.2268676757812,2427.79541015625,10935.658996582031
2025-12-30 18:00:00+00:00,9129.44921875,614.0050048828125,2263.083740234375,12006.537963867188
2025-12-30 19:00:00+00:00,10017.83984375,602.4607543945312,2259.585693359375,12879.886291503906
2025-12-30 20:00:00+00:00,9721.2822265625,574.5745849609375,2287.652587890625,12583.509399414062
2025-12-30 21:00:00+00:00,10011.658203125,535.1519775390625,2348.6953125,12895.505493164062
2025-12-30 22:00:00+00:00,9908.4267578125,498.1891784667969,2498.059814453125,12904.675750732422
2025-12-30 23:00:00+00:00,9908.4267578125,475.7236328125,2382.602783203125,12766.753173828125
