datetime_utc,Solar,Wind_Onshore,Total_Generation
2026-01-01 00:00:00+00:00,0.0,6424.187659918115,6424.187659918115
2026-01-01 01:00:00+00:00,0.0,6459.035566498413,6459.035566498413
2026-01-01 02:00:00+00:00,0.0,6451.795837541343,6451.795837541343
2026-01-01 03:00:00+00:00,0.0,6383.969479937352,6383.969479937352
2026-01-01 04:00:00+00:00,0.0,6378.031434638823,6378.031434638823
2026-01-01 05:00:00+00:00,0.0,6242.083600062812,6242.083600062812
2026-01-01 06:00:00+00:00,0.0,6211.677767635663,6211.677767635663
2026-01-01 07:00:00+00:00,0.0,6199.964798630558,6199.964798630558
2026-01-01 08:00:00+00:00,45.091016933377034,6068.660959039098,6113.7519759724755
2026-01-01 09:00:00+00:00,647.169810321306,5877.854517542661,6525.024327863966
2026-01-01 10:00:00+00:00,753.1344012543219,5607.089538096081,6360.223939350403
2026-01-01 11:00:00+00:00,417.87857943471874,5372.39787616875,5790.276455603469
2026-01-01 12:00:00+00:00,0.0,5268.8607365797825,5268.8607365797825
2026-01-01 13:00:00+00:00,0.0,5338.789820968783,5338.789820968783
2026-01-01 14:00:00+00:00,0.0,5597.320959302943,5597.320959302943
2026-01-01 15:00:00+00:00,0.0,5958.361422347629,5958.361422347629
2026-01-01 16:00:00+00:00,0.0,6269.739835043698,6269.739835043698
2026-01-01 17:00:00+00:00,0.0,6457.475879997734,6457.475879997734
2026-01-01 18:00:00+00:00,0.0,6619.241554638892,6619.241554638892
2026-01-01 19:00:00+00:00,0.0,6664.574616558151,6664.574616558151
2026-01-01 20:00:00+00:00,8.54327847529106,6698.752834799498,6707.296113274789
2026-01-01 21:00:00+00:00,93.7982122650069,6647.1190991141,6740.917311379108
2026-01-01 22:00:00+00:00,88.30875682507849,6608.463376311657,6696.772133136736
2026-01-01 23:00:00+00:00,0.0,6492.200573966791,6492.200573966791
