datetime_utc,Solar,Wind_Onshore,Wind_Offshore,Total_Generation
2025-12-31 00:00:00+00:00,6.55823278427124,18833.47265625,2129.179931640625,20969.210820674896
2025-12-31 01:00:00+00:00,6.079010009765625,17896.939453125,2306.9462890625,20209.964752197266
2025-12-31 02:00:00+00:00,5.930617332458496,17627.708984375,2434.083984375,20067.72358608246
2025-12-31 03:00:00+00:00,6.570619106292725,17486.267578125,2962.01123046875,20454.849427700043
2025-12-31 04:00:00+00:00,6.828731536865234,17416.357421875,3250.5859375,20673.772090911865
2025-12-31 05:00:00+00:00,7.5999650955200195,17847.591796875,3687.437255859375,21542.629017829895
2025-12-31 06:00:00+00:00,9.658061981201172,17728.740234375,4024.6904296875,21763.0887260437
2025-12-31 07:00:00+00:00,430.2089538574219,17567.087890625,3794.317138671875,21791.613983154297
2025-12-31 08:00:00+00:00,2668.296630859375,17569.234375,3752.7548828125,23990.285888671875
2025-12-31 09:00:00+00:00,6049.404296875,17705.37890625,3780.6591796875,27535.4423828125
2025-12-31 10:00:00+00:00,8738.6015625,18241.9609375,3760.076416015625,30740.638916015625
2025-12-31 11:00:00+00:00,9492.796875,18407.3828125,3750.99609375,31651.17578125
2025-12-31 12:00:00+00:00,8972.7900390625,18910.625,3768.69140625,31652.1064453125
2025-12-31 13:00:00+00:00,6334.62451171875,19691.296875,3563.95947265625,29589.880859375
2025-12-31 14:00:00+00:00,2378.652099609375,22738.478515625,3653.10302734375,28770.233642578125
2025-12-31 15:00:00+00:00,140.47349548339844,25296.361328125,3349.235107421875,28786.069931030273
2025-12-31 16:00:00+00:00,12.434409141540527,26211.236328125,3033.87841796875,29257.54915523529
2025-12-31 17:00:00+00:00,11.69839859008789,25411.1015625,2838.6376953125,28261.437656402588
2025-12-31 18:00:00+00:00,8.680583953857422,25059.400390625,2472.61328125,27540.694255828857
2025-12-31 19:00:00+00:00,7.174187660217285,24823.732421875,2276.224609375,27107.131218910217
2025-12-31 20:00:00+00:00,6.638706207275391,24720.69140625,2141.986572265625,26869.3166847229
2025-12-31 21:00:00+00:00,6.053282737731934,23916.111328125,2070.18359375,25992.348204612732
2025-12-31 22:00:00+00:00,5.6967339515686035,23795.07421875,2024.218017578125,25824.988970279694
2025-12-31 23:00:00+00:00,6.339451789855957,23434.54296875,2019.7513427734375,25460.633763313293
