datetime_utc,Wind_Onshore,Total_Generation
2025-12-30 00:00:00+00:00,120.37692291262746,120.37692291262746
2025-12-30 01:00:00+00:00,115.09505458767055,115.09505458767055
2025-12-30 02:00:00+00:00,110.28283818130694,110.28283818130694
2025-12-30 03:00:00+00:00,116.95911733580262,116.95911733580262
2025-12-30 04:00:00+00:00,128.49936870366753,128.49936870366753
2025-12-30 05:00:00+00:00,142.49382242642162,142.49382242642162
2025-12-30 06:00:00+00:00,171.41201976117281,171.41201976117281
2025-12-30 07:00:00+00:00,196.22926288372386,196.22926288372386
2025-12-30 08:00:00+00:00,205.85999492434254,205.85999492434254
2025-12-30 09:00:00+00:00,222.94223137982044,222.94223137982044
2025-12-30 10:00:00+00:00,232.68240981701211,232.68240981701211
2025-12-30 11:00:00+00:00,231.97245502668943,231.97245502668943
2025-12-30 12:00:00+00:00,232.02583444183983,232.02583444183983
2025-12-30 13:00:00+00:00,231.86910529022543,231.86910529022543
2025-12-30 14:00:00+00:00,239.0495570354881,239.0495570354881
2025-12-30 15:00:00+00:00,236.19084491256152,236.19084491256152
2025-12-30 16:00:00+00:00,229.5013452311897,229.5013452311897
2025-12-30 17:00:00+00:00,227.62744242837294,227.62744242837294
2025-12-30 18:00:00+00:00,224.7842589502324,224.7842589502324
2025-12-30 19:00:00+00:00,216.41442809513146,216.41442809513146
2025-12-30 20:00:00+00:00,195.2063720950363,195.2063720950363
2025-12-30 21:00:00+00:00,179.5601796723547,179.5601796723547
2025-12-30 22:00:00+00:00,158.477224379464,158.477224379464
2025-12-30 23:00:00+00:00,135.60752263208562,135.60752263208562
